epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2168.2,0.98131,0.68075,1.21228,0.81939,0.96875,0.95674,0.65607,1.2281,0.71591,1.23558,0.0011882,0.0011882,0.0011882
43,2214.74,0.94991,0.6676,1.20942,0.87434,0.97856,0.95204,0.64414,1.23957,0.65086,1.28264,0.0011684,0.0011684,0.0011684
44,2259.34,0.9457,0.67997,1.1984,0.91273,0.98055,0.93437,0.61825,1.25622,0.65985,1.31238,0.0011486,0.0011486,0.0011486
45,2304.71,0.96072,0.67348,1.19893,0.9514,0.95312,0.96778,0.63654,1.20031,0.62237,1.29845,0.0011288,0.0011288,0.0011288
46,2350.86,0.98462,0.68077,1.20982,0.92299,0.93633,0.9583,0.60355,1.29529,0.7573,1.31136,0.001109,0.001109,0.001109
47,2395.86,0.97363,0.64499,1.19044,0.90364,0.95312,0.96404,0.69329,1.12679,0.65826,1.20021,0.0010892,0.0010892,0.0010892
48,2435.28,0.94236,0.63905,1.18113,0.9217,0.9375,0.98043,0.67834,1.19247,0.58926,1.22472,0.0010694,0.0010694,0.0010694
49,2480.33,0.95842,0.66211,1.20793,0.95286,0.96875,0.97099,0.64074,1.21609,0.63619,1.23827,0.0010496,0.0010496,0.0010496
50,2525.37,0.91805,0.61194,1.1622,0.90262,0.96875,0.95066,0.65695,1.14421,0.62323,1.20651,0.0010298,0.0010298,0.0010298
51,2570.16,0.92078,0.62131,1.18558,0.90787,0.96875,0.9557,0.63478,1.17147,0.64163,1.21079,0.00101,0.00101,0.00101
52,2616.09,0.92315,0.635,1.18535,0.88348,0.94781,0.97446,0.67097,1.13495,0.62459,1.21787,0.0009902,0.0009902,0.0009902
53,2660.24,0.90724,0.63646,1.15941,0.90989,0.94672,0.97588,0.67785,1.10319,0.60925,1.20691,0.0009704,0.0009704,0.0009704
54,2705.12,0.90767,0.61222,1.1666,0.92532,0.96805,0.97298,0.69728,1.12177,0.58458,1.20536,0.0009506,0.0009506,0.0009506
55,2743.79,0.85547,0.59697,1.15824,0.92282,0.98438,0.97954,0.68147,1.11202,0.59427,1.20349,0.0009308,0.0009308,0.0009308
56,2787.56,0.87623,0.60732,1.14712,0.93534,0.98438,0.97306,0.68104,1.16945,0.57172,1.24385,0.000911,0.000911,0.000911
57,2831.72,0.88382,0.60954,1.17538,0.89965,0.98063,0.97095,0.69286,1.09286,0.55052,1.1839,0.0008912,0.0008912,0.0008912
58,2876.49,0.86333,0.6276,1.15142,0.9246,0.96875,0.97728,0.66954,1.15892,0.58377,1.24844,0.0008714,0.0008714,0.0008714
59,2920.38,0.89034,0.61012,1.16172,0.89778,0.96875,0.95828,0.62046,1.29902,0.61865,1.33401,0.0008516,0.0008516,0.0008516
60,2966.03,0.88448,0.6072,1.16061,0.90671,0.96875,0.98166,0.697,1.20465,0.65109,1.25028,0.0008318,0.0008318,0.0008318
